0.251 sec, 4.000 frames
0.220 sec, 3.000 frames
0.276 sec, 4.000 frames
0.192 sec, 4.000 frames
0.388 sec, 4.000 frames
0.284 sec, 3.000 frames
0.268 sec, 6.000 frames
0.289 sec, 3.000 frames
0.344 sec, 5.000 frames
0.165 sec, 3.000 frames
0.600 sec, 4.000 frames
0.383 sec, 6.000 frames
0.289 sec, 5.000 frames
0.183 sec, 4.000 frames
0.264 sec, 4.000 frames
0.198 sec, 2.000 frames
0.220 sec, 4.000 frames
0.308 sec, 3.000 frames
0.289 sec, 5.000 frames
0.227 sec, 3.000 frames
0.342 sec, 4.000 frames
0.448 sec, 4.000 frames
0.263 sec, 6.000 frames
0.489 sec, 3.000 frames
0.256 sec, 8.000 frames
0.149 sec, 3.000 frames
0.259 sec, 4.000 frames
0.136 sec, 2.000 frames
0.328 sec, 4.000 frames
0.149 sec, 3.000 frames
0.258 sec, 4.000 frames
0.266 sec, 3.000 frames
0.268 sec, 5.000 frames
0.347 sec, 3.000 frames
0.346 sec, 4.000 frames
0.167 sec, 4.000 frames
0.258 sec, 4.000 frames
0.146 sec, 2.000 frames
0.256 sec, 4.000 frames
0.266 sec, 3.000 frames
0.447 sec, 4.000 frames
0.221 sec, 4.000 frames
0.263 sec, 5.000 frames
0.160 sec, 2.000 frames
0.232 sec, 4.000 frames
0.142 sec, 2.000 frames
0.340 sec, 4.000 frames
0.385 sec, 4.000 frames
0.519 sec, 5.000 frames
0.305 sec, 4.000 frames
0.371 sec, 4.000 frames
0.266 sec, 5.000 frames
0.294 sec, 4.000 frames
0.258 sec, 3.000 frames
0.268 sec, 5.000 frames
0.235 sec, 2.000 frames
0.274 sec, 4.000 frames
0.196 sec, 4.000 frames

